palabra,conteo
spark,97453
data,68217
in,58471
distributed,38981
is,38981
the,38981
processing,38981
apache,29236
of,29236
level,19491
rdd,19491
are,19491
a,19491
python,19491
with,19490
across,19490
processes,19490
through,19490
frameworks,19490
information,19490
scale,9746
for,9746
provides,9746
apis,9746
resilient,9746
scala,9746
fundamental,9746
high,9746
analytics,9746
datasets,9746
and,9746
java,9746
r,9746
structure,9746
unified,9746
large,9746
engine,9746
evaluation,9745
lazy,9745
not,9745
using,9745
graphx,9745
allow,9745
can,9745
system,9745
schema,9745
query,9745
hello,9745
catalyst,9745
count,9745
machine,9745
optimizes,9745
be,9745
pipelines,9745
streaming,9745
capabilities,9745
graph,9745
nodes,9745
immediately,9745
learning,9745
allows,9745
provide,9745
use,9745
real,9745
optimizer,9745
plans,9745
batch,9745
automatically,9745
built,9745
while,9745
file,9745
pyspark,9745
tolerance,9745
developers,9745
word,9745
computing,9745
ecosystem,9745
mllib,9745
rdds,9745
higher,9745
clusters,9745
abstraction,9745
fault,9745
architecture,9745
enables,9745
stores,9745
world,9745
over,9745
mapreduce,9745
time,9745
dataframe,9745
dataframes,9745
achieved,9745
lineage,9745
micro,9745
sequentially,9745
hdfs,9745
transformations,9745
hadoop,9745
memory,9745
to,9745
multiple,9745
supported,9745
means,9745
executed,9745
machines,9745
big,9745
